video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term
/watch?v=269OJTXffnc&t=26s&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@multiculturalautism,Multicultural Autism Action Network,What is Ableism?,16K,3 years,An English language video created by a parent of an autistic child describing her journey towards understanding ableism.,2026-01-22 06:02:58.836239,ableism definition
/watch?v=DTwFFuCXyGk&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@MoveUnited,Move United,What is Ableism?,25K,3 years,"How do you recognize ableism, and what can you do about it? Move United has some ideas in our Inclusive Playbook.",2026-01-22 06:02:58.838585,ableism definition
/watch?v=Jq-nFB7wQB8&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@helpfulprofessorexplains,Helpful Professor Explains!,What is Ableism? (Definition & Examples),1.3K,11 months,"Ableism is a form of discrimination or prejudice against individuals with disabilities, rooted in the belief that people with disabilities ...",2026-01-22 06:02:58.840682,ableism definition
/watch?v=2Z0jWCD1XhI&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u0gcJCYcKAYcqIYzv,/@UnderstandingEnglish,Understanding English,Ableism Meaning : Definition of Ableism,961,5 years,What is the meaning of Ableism - What is the definition of Ableism - How to pronounce Ableism #Vocabulary #Dictionary # Hindi ...,2026-01-22 06:02:58.843963,ableism definition
/watch?v=f8QUUO1KD3s&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@SDictionaryEd,SDictionary,Ableism Meaning,2K,10 years,Video shows what ableism means. Discrimination against persons with disabilities or in favour of those without.. ableism ...,2026-01-22 06:02:58.845143,ableism definition
/watch?v=8WNd5rY9caY&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@crescente_uk,Crescente Management Centre,What is Ableism? | Ableism Definition | Diversity & Inclusion,1K,3 years,"So What is Ableism? Ablism is when dominant attitudes in society arise that assume there is an ideal body and mind, leading to ...",2026-01-22 06:02:58.846727,ableism definition
/watch?v=rqJxfnioF3Y&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@jessicaoutofthecloset,Jessica Kellgren-Fozard,Ableism vs. Disablism,78K,3 years,Get Surfshark VPN at https://surfshark.deals/jessica - Enter promo code JESSICA for 85% off and 3 extra months for FREE!,2026-01-22 06:02:58.847807,ableism definition
/watch?v=1cXYXzQN39c&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@TEDx,TEDx Talks,‘Am I disabled?’: Confronting your internalised ableism | Jo Copson | TEDxYouth@BrayfordPool,15K,3 years,Do you feel 'lucky' to not be disabled? Do you really know that you aren't disabled? Society largely views disability as a personal ...,2026-01-22 06:02:58.851027,ableism definition
/watch?v=D4PQNP3tlkE&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@wordsunited,Words United,Ableism Definition & Meaning,9,2 years,Definition of ableism in English. Meaning of ableism in English. Example of ableism. Synonyms of ableism. Spelling of ableism.,2026-01-22 06:02:58.852497,ableism definition
/watch?v=sDyXM6ytG_s&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@SpeakFluentEnglishNow,Speak Fluent English Now,Ableism | what is ABLEISM meaning,18,2 years,"ABLEISM definition ---------- Susan Miller (2023, May 8.) What is Ableism? www.language.foundation © 2023 Proficiency in ...",2026-01-22 06:02:58.853645,ableism definition
/watch?v=hcEHaUM0-Eg&t=280s&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@IsaStahr,Isa Stahr M.S.,Disability 101: What is Ableism?,1K,11 months,Hello lovelies! I'm so sorry that this week's video came late. I was very sick last week. I'm on the mend now. Thank you for ...,2026-01-22 06:02:58.856753,ableism definition
/watch?v=q_2f7d9e7HA&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@meaningmastery9479,Meaning Mastery,Definition of Ableism,17,3 years,Check out my blog https://www.gootyspeaks.com Help yourself learn to read: https://amzn.to/3kBbtsO Help build your vocabulary: ...,2026-01-22 06:02:58.859907,ableism definition
/watch?v=A2eJKvGwa0E&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@improveyourenglish2231,Improve Your English,10 lines essay on ableism/essay on ableism/ableism definition/disabled people/people with disability,348,1 year,improve_your_english #essaywriting #essaywritinginenglish #essayexamples #essayspeech ...,2026-01-22 06:02:58.860932,ableism definition
/watch?v=16psEbUh5tU&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@elvlc,Edith Lando Virtual Learning Centre,What is Ableism?,890,3 years,Viewers are invited to explore how our education system is influenced by the medical model of disability and its discrimination ...,2026-01-22 06:02:58.861982,ableism definition
/shorts/I0edqi3zBmg,/@disabledandproudpodcast,DISABLED AND PROUD PODCAST,"I Wrote a Book About Ableism, Here's My Definition",328,10 months,"Brooke holds an empowering conversation with Tiffany Yu, author of the ""Anti-Ableism Manifesto"" exploring the evolving language ...",2026-01-22 06:02:58.863109,ableism definition
/shorts/lIN9JsFm5So,/@SpeechDude,Chris Wenger,Ableism Example in Schools,2.4K,3 years,This is a simple example of how common ableism can be in schools. Video by Paige Layle (Tik Tok @realpaigelayle ),2026-01-22 06:02:58.864240,ableism definition
/watch?v=OR7o4NFcfZI&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u0gcJCYcKAYcqIYzv,/@blairimani,Blair Imani,Is It Okay To Say Disabled? What Is Ableism? What is Disability? Featuring Keah Brown,11K,4 years,"Get Smarter about disability and ableism with featured educator Keah Brown. A Smartie named Micah asks, ""Blair, am I allowed to ...",2026-01-22 06:02:58.867522,ableism definition
/watch?v=eFefext8Amk&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@disabled.autistic.lesbian,Sydney Zarlengo,A Guide to Ableism [CC],6.3K,4 years,"Let's learn about ableism, what it looks like, how we internalize it, and how we can change it Note: This video is several years old.",2026-01-22 06:02:58.868621,ableism definition
/shorts/N6tWuJ53xdo,/@FibroGirl,The Fibro Girl,Ableism In A Nutshell,16K,2 years,Textbook ableism from this commenter #ableism #ableismexists #chronicillness #disabledperson #disabilityadvocate #disabled ...,2026-01-22 06:03:06.001903,ableism definition
/shorts/P8sdSlrAPSI,/@Menerva281,Menerva,What is ableism?,3K,2 years,Sources: Merriam Webster (n.d.) 'Ableism'. Available at: ...,2026-01-22 06:03:06.003187,ableism definition
/watch?v=KWuIsflEkyE&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u0gcJCYcKAYcqIYzv,/@theoxfordreview4272,The Oxford Review,Ableist Language - Definition and explanation,695,1 year,What is Ableist Language? This video explores the definition and explains what Ableist Language is with an example. For free ...,2026-01-22 06:03:06.004686,ableism definition
/watch?v=r9Y6XMko9Jc&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@OasisMentalHealthApplications,Oasis Mental Health Applications,Understanding Disabilities (for students),145K,3 years,"In this video, we'll provide an in-depth explanation of Disabilities Do you have any questions, tips, or ideas about disabilities?",2026-01-22 06:03:06.005747,ableism definition
/watch?v=Wa7Mcwx3n3M&pp=ygUSYWJsZWlzbSBkZWZpbml0aW9u,/@WordWisdomHQ,Word Wisdom,Ableism | meaning of Ableism,5,3 years,"What is ABLEISM meaning? ---------- Susan Miller (2022, August 27.) Ableism meaning www.language.foundation © 2022 ...",2026-01-22 06:03:06.006921,ableism definition
/shorts/0LdpkUytzdQ,/@imtiffanyyu,Tiffany Yu,What is ableism? B The Way Forward podcast #podcast #disability,2.5K,1 year,Ableism is when we devalue someone based on the way their body and their mind works and in that definition there was no ...,2026-01-22 06:03:06.008145,ableism definition
