video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term
/watch?v=ABFpTRlJUuc&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@TEDx,TEDx Talks,Our fight for disability rights and why we're not done yet | Judith Heumann | TEDxMidAtlantic,197K,9 years,"For more than 30 years, Judith Heumann has been involved on the international front working with disabled people's ...",2026-01-22 06:01:39.210725,disability rights
/watch?v=2PnUza4FPz8&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@PBSNewsHour,PBS NewsHour,A Brief But Spectacular take on the disability rights movement,86K,4 years,"Since childhood, Judy Heumann has faced ableism — institutionally, socially, and personally. New York's public school system ...",2026-01-22 06:01:39.212040,disability rights
/watch?v=7i_ZJxVhdhU&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@CBSSundayMorning,CBS Sunday Morning,"""Crip Camp"" and the disability rights movement",74K,4 years,"The new Netflix documentary, ""Crip Camp: A Disability Revolution,"" tells the story of teenagers with disabilities who attended an ...",2026-01-22 06:01:39.213393,disability rights
/watch?v=uJr4wGcLNsA&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@TED,TED,Our fight for disability rights -- and why we're not done yet | Judith Heumann,183K,7 years,"Four decades ago, Judith Heumann helped to lead a groundbreaking protest called the Section 504 sit-in -- in which ...",2026-01-22 06:01:39.214677,disability rights
/watch?v=jUV5seZ1sFc&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@DemocracyNow,Democracy Now!,"“It Is Going to Kill People”: Disability Rights Activist Speaks Out on Trump’s “Big, Beautiful Bill”",29K,8 months,Support our work: https://democracynow.org/donate/sm-desc-yt Over two dozen disability rights activists were arrested on Capitol ...,2026-01-22 06:01:39.215975,disability rights
/watch?v=J6d7O-o16fg&t=11s&pp=ygURZGlzYWJpbGl0eSByaWdodHPSBwkJhwoBhyohjO8%3D,/@inspiredservices,Inspired Services,Our Rights,74K,12 years,The rights of people with learning disabilities (intellectual impairments). A video photostory for IPMG by Inspired Services.,2026-01-22 06:01:39.217910,disability rights
/watch?v=y505KwHp4O4&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@ComedyCentral,Comedy Central,Judith Heumann’s Fight for Disability Rights (feat. Ali Stroker) - Drunk History,502K,5 years,"It took radical action to make the federal government care about the rights of Americans with disabilities, but activists like Judith ...",2026-01-22 06:01:39.220700,disability rights
/shorts/bdY5t33JyBo,/@SarahToddHammer,Sarah Todd Hammer,History of the Disability Rights Movement in the US #Disability #Disabled #Ableism,21K,2 months,"I'm hosting 2 more virtual self-advocacy training sessions on Nov. 8th, 2025! 2:00 PM ET REGISTRATION LINK: ...",2026-01-22 06:01:39.222467,disability rights
/shorts/DjgeymB81Gg,/@AmericanExperiencePBS,American Experience | PBS,The mother of the disability rights movement #Shorts #Documentary #History #Disability,3.9K,8 months,Disability advocate @SarahToddHammer tells us her story about meeting lifelong activist Judy Heumann. Learn more about the ...,2026-01-22 06:01:39.224727,disability rights
/watch?v=VggPdNEa760&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@opensociety,Open Society Foundations,Disability Rights: The New Defenders,8.6K,10 years,The Open Society Disability Rights Scholarship Program is cultivating a new generation of lawyers and advocates who can ...,2026-01-22 06:01:39.226651,disability rights
