video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term
/shorts/klZ6YNObQ5w,/@DryBarComedy,Dry Bar Comedy,The only minority group you can join at any time 😂 | Josh Blue Stand-Up Comedy,23M,4 months,Comedian Josh Blue jokes about being a part of the disabled community. Watch hundreds of Dry Bar Comedy specials on the ...,2026-01-22 06:02:20.236358,disabled community
/shorts/gedXelq0jWU,/@SquirmyandGrubs,Squirmy and Grubs,Some children are disabled but not all disabled people are children,825K,3 years,shorts #squirmyandgrubs #children.,2026-01-22 06:02:20.239159,disabled community
/watch?v=m_AyaVYa3aI&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR50gcJCYcKAYcqIYzv,/@DryBarComedy,Dry Bar Comedy,Anyone Can Join the Disabled Community at Any Time | Josh Blue Stand-Up Comedy,118K,3 months,"Comedian Josh Blue jokes about his disability, kids, and more! Check out Josh's 2 full specials here!",2026-01-22 06:02:20.240425,disabled community
/watch?v=5dKqpqdZuCs&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR50gcJCYcKAYcqIYzv,/@epochstories,EPOCH,Living with disability | PEOPLE,109K,6 years,Jordan was born with Spina Bifida and Hydrocephalus. This documentary focuses on Jordan's story and the challenges of living ...,2026-01-22 06:02:20.243148,disabled community
/watch?v=xFnC7YULtn8&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@NJSpotlightNews,NJ Spotlight News,Transitioning Developmentally Disabled to Community Living,104K,10 years,"DInstead of living in an institution, some developmentally disabled patients have been transitioning to group homes. Rutgers has ...",2026-01-22 06:02:20.244725,disabled community
/shorts/_3fjqnl9WwU,/@ChronicallyJenni,Chronically Jenni,7 Everyday Hacks You Wouldn’t Have Without Disabled People! #DisabilityAwareness,3.8M,6 months,7 Everyday Hacks You Wouldn't Have Without Disabled People! You know the little ramp at the end of a pavement? That's called ...,2026-01-22 06:02:20.246050,disabled community
/watch?v=kaVkKQTTei8&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@jubilee,Jubilee,Do All Disabled People Think The Same? | Spectrum,3M,6 years,Follow us on INSTAGRAM: https://www.instagram.com/jubileemedia/ Erin: https://www.instagram.com/erin_laulau/ Jason: ...,2026-01-22 06:02:20.247808,disabled community
/watch?v=_b7k6pEnyQ4&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@BuzzFeedVideo,BuzzFeedVideo,Things People With Disabilities Wish You Knew,1M,7 years,Special Thanks: Pamela Rae Schuller @PamelaComedy Eman Rimawi @Eman_Rimawi Credits: ...,2026-01-22 06:02:20.249741,disabled community
/watch?v=JTVwTuuqVkQ&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@pbsorigins,PBS Origins ,Do Disabled People Really Have The Same Rights?,100K,1 year,"In 1999, two brave women with disabilities took on the state of Georgia. What happened next was a groundbreaking Supreme ...",2026-01-22 06:02:20.251072,disabled community
/watch?v=mt-4RTXpte0&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR50gcJCYcKAYcqIYzv,/@nowthis,NowThis,How Nick Linnehan Creates Visibility for Talent in the Disabled Community | SEEN | NowThis,915,6 years,We're trapped in this box called 'identity.'' — This man founded an inclusive theater group to highlight talent and create ...,2026-01-22 06:02:20.252918,disabled community
/watch?v=U-54-kWJd4E&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@cbsphilly,CBS Philadelphia,Nonprofit Baker Industries is providing opportunities for disabled community and more,281,2 months,"This week's Spreading the Love is dedicated to National Disability Awareness Month, where reporter Wakisha Bailey shines a ...",2026-01-22 06:02:20.254225,disabled community
/shorts/FHuzT6IgHks,/@coleandcharisma,Roll with Cole & Charisma,Our Husbands Are Disabled,79M,2 years,Loved doing this trend with our friends @SquirmyandGrubs.,2026-01-22 06:02:20.255788,disabled community
/watch?v=E6ZMxujrAJk&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@ColoradoSpringsGazettenews,Gazette Visuals,Breaking Down Barriers for the disabled community,24,10 years,"The Gazette's Eric Singer and Stephen Hobbs take an indepth look at what the disabled community tells them is a legal loophole, ...",2026-01-22 06:02:20.258354,disabled community
/watch?v=Z3faUGgMsNI&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR50gcJCYcKAYcqIYzv,/@AustralianGreens,Australian Greens,We need to talk about disability,96K,7 years,"We need to remove the barriers that stop disabled people from participating in society fully, on an equal basis with everyone else.",2026-01-22 06:02:20.259682,disabled community
/shorts/e89kIM6hkyM,/@InfiniteVoicesCarryOn,Infinite Voices Carry On,Can Local Restaurants Help Our Disabled Community?,1.1K,6 months,Infinite Voices Carry On is seeking support for a charity food delivery drive to provide fresh meals to the disabled and elderly ...,2026-01-22 06:02:20.261028,disabled community
/watch?v=8eIKYKWU-VE&pp=ygUSZGlzYWJsZWQgY29tbXVuaXR5,/@Channel4News,Channel 4 News,A right to love for the disabled community?,35K,8 years,For many years we've been exposing the uphill battle faced by many people in the deaf and disabled community to secure basic ...,2026-01-22 06:02:20.262293,disabled community
/shorts/K55b_EH7rOU,/@TonyJacobsenUNBREAKABLE,Tony Jacobsen #UNBREAKABLE,A one-of-a-kind event for the disabled community!,224,2 years,"Join us for this one-of-a-kind event for the disability community! ""Power In Disability: Encouragement Through Confidence, Health, ...",2026-01-22 06:02:20.263640,disabled community
/shorts/4omY_6zD4fo,/@SquirmyandGrubs,Squirmy and Grubs,Representation Matters,17M,1 year,Disability representation in Halloween decor is so important! Our latest vlog: https://youtu.be/JPSRDskYW1s.,2026-01-22 06:02:27.777777,disabled community
/shorts/pfS_LGp6oAc,/@ChronicallyJenni,Chronically Jenni,Invisible Disabilities Week 2023,49K,2 years,... or putting on make up can be extremely exhausting for disabled people & often leave us feeling much worse than we did before.,2026-01-22 06:02:27.778966,disabled community
/shorts/ItpfEkVjaus,/@SarahToddHammer,Sarah Todd Hammer,Stop telling disabled people to do things differently #Disability #Disabled #Ableism,8.6K,9 hours,"Get 10% off hands-free Kizik shoes: https://get.aspr.app/SH15St Get 15% off accessible flosser, Flaus: ...",2026-01-22 06:02:27.780111,disabled community
/shorts/cNKvpBPUhOA,/@Vogue,Vogue,What The Disabled Community Has Taught Selma Blair,94K,2 years,"Selma Blair owes it all to the disabled community around her. Footage of Selma Blair, a white female with short bleach blonde hair ...",2026-01-22 06:02:27.782603,disabled community
